Frequency [Hz],Amplitude [V/nT],phase [degrees]
1E-020,1.00E-020,90
1E-10, 1e-10, 90 
0.0158,0.0633360132,86.2190838675
0.0161680293,0.0648052756,86.1312638598
0.0165446311,0.0663083325,86.0414140747
0.016930005,0.0678459408,85.9494884007
0.0173243555,0.0694188726,85.8554397339
0.0177278916,0.0710279159,85.7592199608
0.0181408272,0.0726738743,85.6607799406
0.0185633814,0.0743575678,85.5600694882
0.0189957781,0.0760798325,85.4570373571
0.0194382466,0.077841521,85.3516312215
0.0198910215,0.0796435025,85.2437976601
0.0203543429,0.0814866632,85.1334821383
0.0208284565,0.0833719059,85.0206289924
0.0213136135,0.0853001508,84.9051814123
0.0218100714,0.0872723352,84.7870814259
0.0223180932,0.0892894136,84.6662698828
0.0228379484,0.0913523581,84.5426864393
0.0233699125,0.0934621583,84.4162695431
0.0239142677,0.0956198212,84.2869564188
0.0244713026,0.0978263715,84.1546830542
0.0250413124,0.1000828514,84.019384187
0.0256245995,0.1023903207,83.8809932923
0.0262214731,0.1047498567,83.7394425708
0.0268322497,0.1071625542,83.5946629385
0.0274572531,0.1096295252,83.4465840165
0.0280968147,0.1121518989,83.2951341224
0.0287512736,0.1147308216,83.1402402634
0.0294209768,0.1173674562,82.9818281297
0.0301062793,0.1200629821,82.8198220902
0.0308075447,0.1228185949,82.6541451896
0.0315251446,0.125635506,82.4847191468
0.0322594595,0.128514942,82.311464356
0.0330108789,0.1314581444,82.1342998892
0.033779801,0.1344663689,81.9531435011
0.0345666337,0.137540885,81.7679116365
0.035371794,0.1406829749,81.57851944
0.0361957089,0.1438939333,81.3848807691
0.0370388153,0.1471750657,81.1869082095
0.0379015601,0.1505276884,80.9845130942
0.0387844009,0.1539531267,80.7776055256
0.0396878056,0.1574527142,80.5660944018
0.0406122534,0.1610277911,80.3498874462
0.0415582343,0.1646797034,80.1288912419
0.0425262499,0.1684098011,79.9030112703
0.0435168135,0.1722194364,79.6721519542
0.0445304503,0.1761099623,79.4362167065
0.0455676977,0.1800827308,79.1951079838
0.0466291058,0.1841390902,78.948727346
0.0477152372,0.1882803838,78.6969755217
0.0488266678,0.1925079471,78.4397524801
0.049963987,0.1968231052,78.1769575096
0.0511277978,0.2012271704,77.9084893033
0.0523187172,0.2057214393,77.634246052
0.0535373767,0.2103071896,77.3541255452
0.0547844224,0.214985677,77.0680252801
0.0560605155,0.2197581319,76.7758425788
0.0573663327,0.2246257554,76.4774747152
0.0587025662,0.2295897158,76.1728190504
0.0600699246,0.2346511445,75.8617731781
0.0614691329,0.2398111316,75.5442350803
0.0629009329,0.2450707214,75.2201032923
0.0643660839,0.2504309079,74.88927708
0.0658653626,0.2558926296,74.5516566263
0.067399564,0.2614567644,74.2071432305
0.0689695015,0.2671241245,73.855639518
0.0705760076,0.2728954501,73.4970496623
0.072219934,0.2787714045,73.1312796187
0.0739021523,0.2847525673,72.7582373702
0.0756235546,0.2908394283,72.3778331852
0.0773850535,0.2970323815,71.9899798878
0.0791875829,0.3033317179,71.5945931393
0.0810320987,0.3097376191,71.1915917329
0.0829195787,0.3162501503,70.7808978988
0.0848510238,0.3228692531,70.3624376214
0.0868274581,0.3295947387,69.9361409674
